45_68_44_ 45_73_44
69_ 73
6_34_71_8_ 6_34_75_8
61_12_28_30_79_47_57_ 61_12_54_56_118_47_31
29_18_17_ 29_111_17
3_62_40_30_ 3_62_40_30
62_ 62
43_76_8_6_10_ 43_111_8_11_10
46_63_43_ 46_63_43
47_73_0_ 47_95_0
11_13_70_14_58_37_4_ 11_10_21_74_14_32_37_4
36_29_74_11_25_43_10_ 36_29_105_11_51_43_10
54_4_63_1_ 28_4_70_1
51_72_33_ 25_76_59
4_79_28_ 4_118_28
5_63_41_ 5_63_41
81_ 70
0_64_40_7_52_4_48_49_ 39_64_40_7_52_4_48_49
65_ 65
70_ 74
36_63_17_19_23_28_18_59_60_ 36_63_17_19_23_54_18_59_60
18_23_36_3_74_8_64_13_ 18_23_36_3_105_8_59_13
17_34_5_66_43_38_3_ 17_34_5_70_43_38_3
32_50_72_61_ 32_50_76_61
48_72_10_ 48_76_10
40_29_74_53_3_ 40_29_105_53_3
41_50_56_80_23_35_ 41_50_56_134_23_61
49_10_64_18_ 49_10_64_18
52_76_43_ 52_111_43
65_6_29_13_34_17_60_20_ 65_6_29_13_34_17_60_20
55_ 55
70_ 74
12_ 105
61_39_78_20_58_ 61_39_117_46_32
76_ 111
59_ 64
47_40_69_43_ 47_40_73_43
30_6_63_52_ 30_6_70_52
46_78_ 46_117
20_38_42_80_0_64_12_ 46_12_42_134_50_59_38
80_ 134
40_42_ 40_42
38_59_ 38_64
19_79_ 19_118
17_ 17_70
1_81_65_ 65
43_56_76_44_53_ 43_56_111_44_53
59_ 64
27_79_77_15_32_ 27_118_24_15_32
10_75_ 10_107
58_63_34_16_30_4_ 58_63_34_16_30_4
48_33_ 48_64
62_6_ 62_6
76_ 111
40_41_8_77_9_70_25_43_18_39_ 40_41_8_0_9_74_25_43_18_39
8_70_42_ 8_74_42
32_53_45_64_2_61_ 32_53_45_64_35_61
73_22_39_7_9_ 95_22_39_7_9
52_78_20_ 52_117_20
51_6_78_0_ 51_6_117_50
1_47_41_ 118_41
13_70_52_ 13_74_52
19_71_32_ 19_75_32
53_ 53
12_8_80_48_27_64_13_42_39_ 12_8_134_48_27_33_13_42_39
20_6_42_29_36_11_62_3_8_ 46_6_42_29_36_11_62_3_8
65_ 65
33_ 33
4_6_50_73_40_61_37_ 4_6_50_95_40_61_37
16_78_28_ 16_117_54
8_64_34_60_39_3_ 8_64_34_60_39_3
80_ 134
2_63_44_ 61_70_44
57_6_62_44_18_ 57_6_62_44_18
34_70_ 34_74
1_ 70
74_14_9_5_37_ 105_14_26_5_37
47_ 63
39_31_11_63_3_40_ 39_31_11_63_3_40
72_ 76
60_78_1_22_23_55_ 60_117_1_22_17_55
70_ 74
4_73_64_9_6_25_ 4_95_33_26_11_51
52_5_63_ 52_63
19_70_35_ 19_74_35
10_20_3_1_40_79_32_30_ 10_20_3_21_40_118_32_30
75_ 107
9_7_53_6_29_58_64_31_11_ 26_7_53_6_29_58_64_31_11
71_33_19_23_14_21_ 75_33_19_23_14_21
56_79_ 56_118
62_ 62
73_ 95
24_72_ 24_76
7_ 107
19_8_23_22_2_16_79_24_ 19_8_23_22_35_16_118_0
75_ 107
36_80_ 36_134
19_70_53_ 19_74_53
54_35_62_42_1_22_31_ 61_62_42_1_22_57
38_55_64_20_ 38_55_64_20
10_13_56_69_61_60_ 10_13_56_73_61_60
39_26_64_20_47_ 39_26_64_46_47
74_13_56_53_77_34_59_71_41_ 47_12_56_53_24_34_59_75_41
8_12_47_28_62_36_38_44_ 8_12_47_28_62_36_38_44
14_80_ 14_134
54_74_10_62_41_ 28_1_10_62_41
65_ 65
65_ 65
56_27_71_54_38_ 56_27_75_54_12
5_43_6_1_ 5_43_6_1
22_79_ 22_118
16_62_37_ 16_62_37
74_18_22_ 105_21_22
30_25_11_72_19_8_33_ 30_25_11_76_19_8_59
37_34_7_74_42_55_ 37_34_7_105_42_55
8_1_64_47_ 8_1_64_47
74_ 105
72_23_ 76_23
